Speaker,Sentence
MENENIUS,"What work's, my countrymen, in hand? where go you
With bats and clubs? The matter? speak, I pray you."
MENENIUS,"Why, masters, my good friends, mine honest neighbours,
Will you undo yourselves?"
MENENIUS,"I tell you, friends, most charitable care
Have the patricians of you. For your wants,
Your suffering in this dearth, you may as well
Strike at the heaven with your staves as lift them
Against the Roman state, whose course will on
The way it takes, cracking ten thousand curbs
Of more strong link asunder than can ever
Appear in your impediment. For the dearth,
The gods, not the patricians, make it, and
Your knees to them, not arms, must help. Alack,
You are transported by calamity
Thither where more attends you, and you slander
The helms o' the state, who care for you like fathers,
When you curse them as enemies."
MENENIUS,"Either you must
Confess yourselves wondrous malicious,
Or be accused of folly. I shall tell you
A pretty tale"
MENENIUS,"There was a time when all the body's members
Rebell'd against the belly, thus accused it"
MENENIUS,"Sir, I shall tell you. With a kind of smile,
Which ne'er came from the lungs, but even thus--
For, look you, I may make the belly smile
As well as speak--it tauntingly replied
To the discontented members, the mutinous parts
That envied his receipt; even so most fitly
As you malign our senators for that
They are not such as you."
MENENIUS,"What then?
'Fore me, this fellow speaks! What then? what then?"
MENENIUS,"Well, what then?"
MENENIUS,"I will tell you
If you'll bestow a small--of what you have little--
Patience awhile, you'll hear the belly's answer."
MENENIUS,"Note me this, good friend;
Your most grave belly was deliberate,
Not rash like his accusers, and thus answer'd"
MENENIUS,"'Though all at once cannot
See what I do deliver out to each,
Yet I can make my audit up, that all
From me do back receive the flour of all,
And leave me but the bran.' What say you to't?"
MENENIUS,"The senators of Rome are this good belly,
And you the mutinous members; for examine
Their counsels and their cares, digest things rightly
Touching the weal o' the common, you shall find
No public benefit which you receive
But it proceeds or comes from them to you
And no way from yourselves. What do you think,
You, the great toe of this assembly?"
MENENIUS,"For that, being one o' the lowest, basest, poorest,
Of this most wise rebellion, thou go'st foremost"
MENENIUS,"For corn at their own rates; whereof, they say,
The city is well stored."
MENENIUS,"Nay, these are almost thoroughly persuaded;
For though abundantly they lack discretion,
Yet are they passing cowardly. But, I beseech you,
What says the other troop?"
MENENIUS,What is granted them?
MENENIUS,This is strange.
COMINIUS,You have fought together.
COMINIUS,It is your former promise.
MENENIUS,"O, true-bred!"
COMINIUS,Noble Marcius!
SICINIUS,Was ever man so proud as is this Marcius?
BRUTUS,He has no equal.
SICINIUS,"When we were chosen tribunes for the people,--"
BRUTUS,Mark'd you his lip and eyes?
SICINIUS,Nay. but his taunts.
BRUTUS,"Being moved, he will not spare to gird the gods."
SICINIUS,Be-mock the modest moon.
BRUTUS,The present wars devour him
SICINIUS,"Such a nature,
Tickled with good success, disdains the shadow
Which he treads on at noon"
BRUTUS,"Fame, at the which he aims,
In whom already he's well graced, can not
Better be held nor more attain'd than by
A place below the first"
SICINIUS,"Besides, if things go well,
Opinion that so sticks on Marcius shall
Of his demerits rob Cominius."
BRUTUS,Come
SICINIUS,"Let's hence, and hear
How the dispatch is made, and in what fashion,
More than his singularity, he goes
Upon this present action."
BRUTUS,Lets along.
COMINIUS,"Breathe you, my friends"
COMINIUS,"Though thou speak'st truth,
Methinks thou speak'st not well.
How long is't since?"
COMINIUS,'Tis not a mile; briefly we heard their drums
COMINIUS,"Who's yonder,
That does appear as he were flay'd? O gods
He has the stamp of Marcius; and I have
Before-time seen him thus."
COMINIUS,"The shepherd knows not thunder from a tabour
More than I know the sound of Marcius' tongue
From every meaner man."
COMINIUS,"Ay, if you come not in the blood of others,
But mantled in your own."
