,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,Fangfang,within a day,100%,80%,f,1.0,7.0,"['email', 'phone']",t,Inner Sunset,Private room,1,2.0,1.0,1.0,$50.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,0,29,59,122,0,0,0,122,0,0,0.0,,,,,,,,f,1,0,1,0,
1,Giancarlo,a few days or more,0%,0%,f,1.0,1.0,['phone'],t,Western Addition,Entire home/apt,2,1.0,1.0,1.0,$150.00,30,31,30.0,30.0,31.0,31.0,30.0,31.0,t,24,54,84,358,2,0,0,299,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,1,1,0,0,0.05
2,Dawn,within an hour,100%,96%,t,3.0,3.0,"['email', 'phone']",t,North Beach,Entire home/apt,3,1.0,1.0,2.0,$140.00,30,365,30.0,33.0,365.0,365.0,30.4,365.0,t,28,28,28,107,21,0,0,107,0,0,0.0,4.9,4.9,4.76,4.95,4.95,5.0,4.62,f,1,1,0,0,0.13
3,Kelly,,,100%,f,1.0,10.0,"['email', 'phone', 'work_email']",t,Western Addition,Private room,2,1.0,1.0,1.0,$320.00,1,365,1.0,1.0,10.0,10.0,1.0,10.0,t,12,31,53,307,0,0,0,252,0,0,0.0,,,,,,,,t,1,0,1,0,
4,Kate,,,100%,f,1.0,1.0,"['email', 'phone']",t,Outer Sunset,Private room,2,1.0,1.0,2.0,$81.00,30,60,30.0,30.0,60.0,60.0,30.0,60.0,t,23,53,83,83,3,0,0,83,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.1
5,Qiao Shi,within an hour,100%,100%,t,2.0,2.0,"['email', 'phone']",t,Outer Richmond,Entire home/apt,3,1.0,1.0,1.0,$113.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,t,7,25,45,113,79,78,5,113,68,255,28815.0,4.95,4.94,4.97,4.99,4.99,4.94,4.81,f,1,1,0,0,6.29
6,Jeff,within a few hours,100%,100%,t,2.0,3.0,"['email', 'phone']",t,Inner Richmond,Entire home/apt,5,1.0,2.0,4.0,$328.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,30,60,90,269,26,26,1,269,25,255,83640.0,4.85,4.85,4.81,4.85,4.92,5.0,4.73,t,2,2,0,0,2.8
7,Jeff,within a few hours,100%,100%,t,2.0,3.0,"['email', 'phone']",t,Inner Richmond,Entire home/apt,5,1.0,3.0,4.0,$328.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,30,60,90,269,9,9,0,269,9,255,83640.0,4.78,5.0,5.0,4.89,5.0,4.89,4.78,t,2,2,0,0,1.28
8,Emily,within an hour,100%,81%,f,2.0,3.0,"['email', 'phone', 'work_email']",t,Inner Sunset,Entire home/apt,2,1.0,1.0,0.0,$248.00,3,10,3.0,3.0,10.0,10.0,3.0,10.0,t,0,26,56,139,1,1,0,139,1,11,2728.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.48
9,Voytek,within an hour,100%,100%,f,1.0,1.0,"['email', 'phone']",t,Twin Peaks,Entire home/apt,4,1.0,2.0,3.0,$328.00,1,180,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,8,38,63,318,115,9,5,259,2,99,32472.0,4.97,4.97,4.98,4.97,4.97,4.85,4.78,t,1,1,0,0,1.12
